Article Title,Article Abstract,Publication Year,Publication Month,Publication Day
Association between visit-to-visit lipid variability and risk of ischemic heart disease: a cohort study in China.,To explore the associations between visit-to-visit lipid variability and risk of ischemic heart disease (IHD) in a population-based cohort in China.,2023,12,30
CTSB Nuclear Translocation Facilitates DNA Damage and Lysosomal Stress to Promote Retinoblastoma Cell Death.,"Retinoblastoma (RB) is a pernicious tumor originating from photoreceptor precursor cells that often endangers the lives of children. The purpose of our study was to further investigate the influence of cathepsin B (CTSB) nuclear translocation on RB cell death. Y79 cells were injected into the vitreous cavity of nude mice at a dose of 4 µL/mouse to establish an animal model of RB. Real-time quantitative polymerase chain reaction (RT-qPCR), Western blot analysis, a comet assay, a Cell Counting Kit-8 (CCK-8) assay and flow cytometry were used to measure the levels of the interrelated genes and proteins and to evaluate alterations in autophagy, apoptosis, proliferation, DNA damage and cell cycle arrest. CTSB was found to be expressed at low levels in RB animal model samples and RB cell lines. Functionally, CTSB nuclear translocation promoted DNA damage, cell cycle arrest, ferroptosis and autophagy in Y79 cells and inhibited their proliferation. Downstream mechanistic studies showed that nuclear translocation of CTSB facilitates DNA damage and cell cycle arrest in RB cells by inhibiting breast cancer 1 protein (BRCA1) expression and also activates the signal transducer and activator of transcription 3/stimulator of interferon response cGAMP interactor 1 (STAT3/STING1) pathway to induce lysosomal stress, leading to ferroptosis and autophagy in Y79 cells and alleviating RB. Nuclear translocation of CTSB facilitates DNA damage and cell cycle arrest in RB cells by inhibiting BRCA1 expression and activating the STAT3/STING1 pathway and induces lysosomal stress, which eventually leads to ferroptosis and autophagy and mitigates RB.",2023,12,30
Investigating the potential clinical impact of periodontitis on the progression of Alzheimer's disease: a prospective cohort study.,This study aimed to investigate the effect of periodontitis and current occlusal relationship on the progression rate of Alzheimer's disease (AD).,2023,12,30
Development of competitive and noncompetitive lateral flow immunoassays for pendimethalin using synthetic peptides.,"Peptidomimetic and anti-immunocomplex peptides can be easily isolated from phage display libraries, and can be used as alternatives to chemical competing haptens to improve the sensitivity of small molecule immunoassay. In this work, 16 peptidomimetics and 7 anti-immunocomplex peptides of pendimethalin (PND) were obtained from cyclic 7-, 8-, 9-, and 10-residue peptide phage libraries. Peptidomimetic EJ-2 (CMFTGTDFPC) with the highest sensitivity in competitive phage enzyme-linked immunosorbent assay (ELISA) and immunocomplex peptide EF-30 (CNPGWPPIPC) with the highest sensitivity in noncompetitive phage ELISA were selected to prepare phage-free peptides with GGGSSK-biotin at the C-terminus. Competitive and noncompetitive lateral flow immunoassays (CLFIA and NLFIA) were developed by using the phage-free peptides. After optimization, the CLFIA and NLFIA showed visual limit of detections (vLODs) of 5 ng/mL and 2.5 ng/mL, respectively, which were improved two- and fourfold compared with a LFIA based on chemical hapten. The NLFIA showed better sensitivity than CLFIA in the detection of spiked samples, and can meet the detection requirements for agro-products regulated by EU and China. The detection results of CLFIA and NLFIA for blind samples were consistent with that of ultra performance liquid chromatography/tandem mass spectrometry.",2023,12,30
Methodological quality of evidence-based clinical practice guidelines in cariology.,The present study aimed to appraise the methodological quality of evidence-based Clinical Practice Guidelines (CPGs) in the cariology field.,2023,12,30
Suboptimal Weight Loss 13 Years After Roux-en-Y Gastric Bypass Is Associated with Blunted Appetite Response.,"Bariatric surgery remains the most efficient treatment to achieve a sustained weight loss. However, a large proportion of patients experience suboptimal weight loss (SWL). The exact mechanisms involved remain to be fully elucidated, but the homeostatic appetite control system seems to be involved. The aim of this study was, therefore, to compare the plasma concentration of gastrointestinal hormones, and appetite ratings, between those experiencing SWL and optimal weight loss (OWL) after Roux-en-Y gastric bypass (RYGB).",2023,12,30
Challenges and pitfalls in classification of disproportionate mitral regurgitation.,"The concept of disproportionate mitral regurgitation (dispropMR) has been introduced to identify patients with functional mitral regurgitation (MR) who benefit from percutaneous treatment. We aimed to examine echocardiographic characteristics behind this entity. We retrospectively included 172 consecutive patients with reduced left ventricular ejection fraction (LVEF), and more than mild MR referred to clinically indicated echocardiography. According to the proportionality ratio (effective regurgitant orifice area (EROA)/left ventricular end-diastolic volume (LVEDV)) patients were divided into dispropMR and proportionate MR (propMR) group. Potential factors which might affect proportionality definition were analyzed. 55 patients (32%) had dispropMR. Discrepant grading of MR severity was observed when using regurgitant volume (RegVol) by proximal isovelocity surface area (PISA) method or volumetric method, with significant discordance only in dispropMR (p < 0.001). Patients with dispropMR had more frequently left ventricular foreshortened images for LVEDV calculation than patients with propMR (p = 0.003), resulting in smaller LVEDV in dispropMR group. DispropMR group had more substantial dynamic variation of regurgitant flow compared to propMR. Accordingly, EROA was consistently overestimated by standard single-point PISA method compared to serial PISA method. This was more pronounced in dispropMR (bias:10.5 ± 28.3 mm<sup>2</sup>) compared to propMR group (bias:6.4 ± 12.8 mm<sup>2</sup>). DispropMR may be found in roughly one third of clinically indicated echocardiographic studies in patients with reduced LVEF and more than mild MR. EROA overestimation due to dynamic variation of regurgitant flow and LVEDV underestimation due to LV foreshortening were more frequently found in dispropMR. Our results indicate that methodological limitations of echocardiographic MR grading could not be neglected in classifying the proportionality of MR.",2023,12,30
A dual-functional cuprum coordination framework for high proton conduction and electrochemical dopamine detection.,"The present study selected 5, 5'-((6-(ethylamino)-1, 3, 5-triazine-2, 4-diyl) bis(azanediyl))diisophthalic acid (H<sub>4</sub>EATDIA) as ligand and an amino-functionalized cuprum-based MOF (EA-JUC-1000), successfully synthesized by microwave-assisted method, for proton conduction and dopamine sensing applications. In order to enhance the proton-conducting potential of EA-JUC-1000, the Brönsted acid (BA) encapsulated composites (BA@EA-JUC-1000) are dopped into chitosan (CS) to form a series of hybrid membranes (BA@EA-JUC-1000/CS). The impedance results display that the best proton conductivity of CF<sub>3</sub>SO<sub>3</sub>H@EA-JUC-1000/CS-8% reaches up to 1.23 × 10<sup>-3</sup> S∙cm<sup>-1</sup> at 338 K and ~ 98% RH, 2.6-fold than that of CS. Moreover, the EA-JUC-1000 is in-situ combined with reduced graphene oxide (rGO) (rGO/EA-JUC-1000), which makes EA-JUC-1000 have a wide detection range (0.1 ~ 500 μM) and a low limit of detection (50 nM), together with good anti-interference performance, reproducibility and repeatability. In addition, the electrochemical sensing method has been successfully applied to detect DA in bovine serum samples. The dual-functional MOF-based hybrid membrane and composites including proton conduction and DA sensing would provide an example of practical application for MOFs.",2023,12,30
An Egalitarian Perspective on Information Sharing: The Example of Health Care Priorities.,"In health care, the provision of pertinent information to patients is not just a moral imperative but also a legal obligation, often articulated through the lens of obtaining informed consent. Codes of medical ethics and many national laws mandate the disclosure of basic information about diagnosis, prognosis, and treatment alternatives. However, within publicly funded health care systems, other kinds of information might also be important to patients, such as insights into the health care priorities that underlie treatment offers made. While conventional perspectives do not take this as an obligatory part of the information to be shared with patients, perhaps through viewing it as clinically ""non-actionable,"" we advocate for a paradigm shift. Our proposition diverges from the traditional emphasis on actionability. We contend that honoring patients as equal moral agents necessitates, among other principles, a commitment to honesty. Withholding specific categories of information pertinent to patients' comprehension of their situation is inherently incompatible with this principle. In this article, we advocate for a recalibration of the burden of proof. Rather than requiring special justifications for adding to the standard set of information items, we suggest that physicians should be able to justify excluding relevant facts about the patient's situation and the underlying considerations shaping health care professionals' choices. This perspective prioritizes transparency and empowers patients with a comprehensive understanding, aligning with the ethos of respect for the patient as person.",2023,12,30
Phage cocktail alleviated type 2 diabetes by reshaping gut microbiota and decreasing proinflammatory cytokines.,"Type 2 diabetes (T2D), a global health concern, is closely associated with the gut microbiota. Restoration of a balanced microbiota and intestinal homeostasis benefit therapy of T2D. Some special phages may selectively alter the gut microbiota without causing dysbiosis, such as MS2 and P22. However, scarcely systematic analysis of cascading effects triggered by MS2 and P22 phages on the microbiota, as well as interactions between specific gut bacteria and systemic metabolism, seriously inhibit the development of positive interventions of phages. Based on multi-omic analysis, we analyzed the intrinsic correlations among specific microbiota, their bioactive metabolites, and key indicators of T2D. We found that gavage of the MS2-P22 phage cocktail could significantly alter the gut microbiome to attenuate dysbiosis of diabetic C57BL/6 mice caused by high-fat diets (HFDs) and streptozotocin (STZ), by affecting microbial compositions as well as their metabolic pathways and metabolites, especially increasing amounts of short-chain fatty acid-producing (SCFA-producing) bacteria (e.g., Blautia and Romboutsia) and short-chain fatty acids (SCFAs). Correspondingly, a noteworthy reduction in the number of several opportunistic pathogens occurred, e.g., Candidatus Saccharimonas, Aerococcus, Oscillibacter, Desulfovibrio, and Clostridium sensu stricto 1. Synchronously, the levels of proinflammatory cytokines and lipopolysaccharide (LPS) were reduced to recover gut barrier function in T2D mice. These findings might benefit the development of a new dietary intervention for T2D based on phage cocktails. KEY POINTS: • Intestinal barrier integrity of T2D mice is improved by a phage cocktail • Negative relationship between Muribaculaceae and Corynebacterium reshaped gut microbiota • Acetate, propionate, and butyrate decreased the level of proinflammatory factors.",2023,12,30
The horizontal gene transfer of perchlorate reduction genomic island in three bacteria from an ecological niche.,"Three new strains of dissimilatory perchlorate-reducing bacteria (DPRB), QD19-16, QD1-5, and P3-1, were isolated from an active sludge. Phylogenetic trees based on 16S rRNA genes indicated that QD19-16, QD1-5, and P3-1 belonged to Brucella, Acidovorax, and Citrobacter, respectively, expanding the distribution of DPRB in the Proteobacteria. The three strains were gram-negative and facultative anaerobes with rod-shaped cells without flagella, which were 1.0-1.6 μm long and 0.5-0.6 μm wide. The three DPRB strains utilized similar broad spectrum of electron donors and acceptors and demonstrated a similar capability to reduce perchlorate within 6 days. The enzyme activity of perchlorate reductase in QD19-16 toward chlorate was higher than that toward perchlorate. The high sequence similarity of the perchlorate reductase operon and chlorite dismutase genes in the perchlorate reduction genomic islands (PRI) of the three strains implied that they were monophyletic origin from a common ancestral PRI. Two transposase genes (tnp1 and tnp2) were found in the PRIs of strain QD19-16 and QD1-5, but were absent in the strain P3-1 PRI. The presence of fragments of IR sequences in the P3-1 PRI suggested that P3-1 PRI had previously contained these two tnp genes. Therefore, it is plausible to suggest that a common ancestral PRI transferred across the strains Brucella sp. QD19-16, Acidovorax sp. QD1-5, and Citrobacter sp. P3-1 through horizontal gene transfer, facilitated by transposases. These results provided a direct evidence of horizontal gene transfer of PRI that could jump across phylogenetically unrelated bacteria through transposase. KEY POINTS: • Three new DPRB strains can effectively remove high concentration of perchlorate. • The PRIs of three DPRB strains are acquired from a single ancestral PRI. • PRIs are incorporated into different bacteria genome through HGT by transposase.",2023,12,30
Motility of Acinetobacter baumannii: regulatory systems and controlling strategies.,"Acinetobacter baumannii is a Gram-negative opportunistic zoonotic pathogenic bacterium that causes nosocomial infections ranging from minor to life-threatening. The clinical importance of this zoonotic pathogen is rapidly increasing due to the development of multiple resistance mechanisms and the synthesis of numerous virulence factors. Although no flagellum-mediated motility exists, it may move through twitching or surface-associated motility. Twitching motility is a coordinated multicellular movement caused by the extension, attachment, and retraction of type IV pili, which are involved in surface adherence and biofilm formation. Surface-associated motility is a kind of movement that does not need appendages and is most likely driven by the release of extra polymeric molecules. This kind of motility is linked to the production of 1,3-diaminopropane, lipooligosaccharide formation, natural competence, and efflux pump proteins. Since A. baumannii's virulence qualities are directly tied to motility, it is possible that its motility may be used as a specialized preventative or therapeutic measure. The current review detailed the signaling mechanism and involvement of various proteins in controlling A. baumannii motility. As a result, we have thoroughly addressed the role of natural and synthetic compounds that impede A. baumannii motility, as well as the underlying action mechanisms. Understanding the regulatory mechanisms behind A. baumannii's motility features will aid in the development of therapeutic drugs to control its infection. KEY POINTS: • Acinetobacter baumannii exhibits multiple resistance mechanisms. • A. baumannii can move owing to twitching and surface-associated motility. • Natural and synthetic compounds can attenuate A. baumannii motility.",2023,12,30
The effects of CypA on apoptosis: potential target for the treatment of diseases.,"Cyclophilin A (CypA), the first member of cyclophilins, is distributed extensively in eukaryotic and prokaryotic cells, primarily localized in the cytoplasm. In addition to acting as an intracellular receptor for cyclosporin A (CSA), CypA plays a crucial role in diseases such as aging and tumorigenesis. Apoptosis, a form of programmed cell death, is able to balance the rate of cell viability and death. In this review, we focus on the effects of CypA on apoptosis and the relationship between specific mechanisms of CypA promoting or inhibiting apoptosis and diseases, including tumorigenesis, cardiovascular diseases, organ injury, and microbial infections. Notably, the process of CypA promoting or inhibiting apoptosis is closely related to disease development. Finally, future prospects for the association of CypA and apoptosis are discussed, and a comprehensive understanding of the effects of CypA on apoptosis in relation to diseases is expected to provide new insights into the design of CypA as a therapeutic target for diseases. KEY POINTS: • Understand the effect of CypA on apoptosis. • CypA affects apoptosis through specific pathways. • The effect of CypA on apoptosis is associated with a variety of disease processes.",2023,12,30
Genes controlling hydrolysate toxin tolerance identified by QTL analysis of the natural Saccharomyces cerevisiae BCC39850.,"Lignocellulosic material can be converted to valorized products such as fuels. Pretreatment is an essential step in conversion, which is needed to increase the digestibility of the raw material for microbial fermentation. However, pretreatment generates by-products (hydrolysate toxins) that are detrimental to microbial growth. In this study, natural Saccharomyces strains isolated from habitats in Thailand were screened for their tolerance to synthetic hydrolysate toxins (synHTs). The Saccharomyces cerevisiae natural strain BCC39850 (toxin-tolerant) was crossed with the laboratory strain CEN.PK2-1C (toxin-sensitive), and quantitative trait locus (QTL) analysis was performed on the segregants using phenotypic scores of growth (OD<sub>600</sub>) and glucose consumption. VMS1, DET1, KCS1, MRH1, YOS9, SYO1, and YDR042C were identified from QTLs as candidate genes associated with the tolerance trait. CEN.PK2-1C knockouts of the VMS1, YOS9, KCS1, and MRH1 genes exhibited significantly greater hydrolysate toxin sensitivity to growth, whereas CEN.PK2-1C knock-ins with replacement of VMS1 and MRH1 genes from the BCC39850 alleles showed significant increased ethanol production titers compared with the CEN.PK2-1C parental strain in the presence of synHTs. The discovery of VMS1, YOS9, MRH1, and KCS1 genes associated with hydrolysate toxin tolerance in S. cerevisiae indicates the roles of the endoplasmic-reticulum-associated protein degradation pathway, plasma membrane protein association, and the phosphatidylinositol signaling system in this trait. KEY POINTS: • QTL analysis was conducted using a hydrolysate toxin-tolerant S. cerevisiae natural strain • Deletion of VMS1, YOS9, MRH1, and KCS1 genes associated with hydrolysate toxin-sensitivity • Replacement of VMS1 and MRH1 with natural strain alleles increased ethanol production titers in the presence of hydrolysate toxins.",2023,12,30
Resistance exercise in combination with aerobic exercise reduces the incidence of serious events in patients with liver cirrhosis: a meta-analysis of randomized controlled trials.,"Exercise, particularly resistance exercise, is beneficial for sarcopenia in patients with liver cirrhosis. However, the effects of exercise on events remain unclear. We aimed to examine the effects of exercise on serious events in patients with liver cirrhosis using a meta-analysis of randomized controlled trials (RCTs).",2023,12,30
"Stem growth phenology, not canopy greening constrains deciduous tree growth.","Canopy phenology is a widely used proxy for deciduous forest growth with various applications in terrestrial ecosystem modeling. Its use relies on common assumptions that canopy greening and stem growth are tightly coordinated processes, enabling predictions on the timing and the quantity of annual tree growth. Here, we present parallel observations of canopy and stem growth phenology and annual stem increment in around 90 deciduous forest trees with diffuse-porous (Fagus sylvatica, Acer pseudoplatanus, Carpinus betulus) or ring-porous (Quercus robur x petraea) wood anatomy. These data were collected in a mixed temperate forest at the Swiss-Canopy-Crane II site, in four years with strongly contrasting weather conditions. We found that stem growth resumption lagged several weeks behind spring canopy greening in diffuse-porous but not in ring-porous trees. Canopy greening and stem growth resumption showed no or only weak signs of temporal coordination across the observation years. Within the assessed species, the seasonal timing of stem growth varied strongly among individuals, as trees with high annual increments resumed growth earlier and also completed their main growth earlier. The length of main growth activity had no influence on annual increments. Our findings do not only challenge tight temporal coordination of canopy and stem growth phenology but also demonstrate that longer main growth activity does not translate into higher annual increments. This may compromise approaches modelling tree growth and forest productivity with canopy phenology and growth length.",2023,12,30
Automation of Functional Mobility Assessments at Home Using a Multimodal Sensor System Integrating Inertial Measurement Units and Computer Vision (IMU-Vision).,"Functional movement assessments are routinely used to evaluate and track changes in mobility. The objective of this study was to evaluate a multimodal movement monitoring system developed for autonomous, home-based, functional movement assessment.",2023,12,30
THE MOMENT ARMS AND LINES OF ACTION OF SUBSCAPULARIS AFTER THE LATARJET PROCEDURE.,"The Latarjet procedure is an established surgical treatment for recurrent glenohumeral joint instability with glenoid bone loss. Intraoperatively, the conjoint tendon is routed through a split in subscapularis to the coracoid bone graft, which is fixed to and augments the anteroinferior glenoid. The objective of this in vitro study was to quantify the influence of glenohumeral joint position and conjoint tendon force on the lines of action and moment arms of subscapularis muscle sub-regions after Latarjet surgery. Eight fresh-frozen, entire upper extremities were mounted onto a testing apparatus, and a cable system used to apply physiological muscle loading to the major shoulder muscles. The lines of action and moment arms of four sub-regions of subscapularis (superior, mid-superior, mid-inferior, and inferior) were quantified radiographically with the conjoint tendon unloaded and loaded while the shoulder was in (i) 0° abduction (ii) 90° abduction (iii) 90° abduction and full external rotation (ABER), and (iv) the apprehension position, defined as ABER with 30° horizontal extension. Conjoint tendon loading after Latarjet surgery significantly increased the inferior inclination of the lines of action of the mid-inferior and inferior sub-regions of subscapularis in the scapular plane in ABER and apprehension positions (p<0.001), as well as decreased the horizontal flexion moment arm of the inferior subscapularis (p=0.040). Increased subscapularis inferior inclination may ultimately increase inferior joint shear potential, while smaller horizontal flexion leverage may reduce joint flexion capacity. The findings have implications for Latarjet surgical planning and post-operative rehabilitation prescription. This article is protected by copyright. All rights reserved.",2023,12,30
Neural correlates of episodic memory decline following electroconvulsive therapy: An exploratory functional magnetic resonance imaging study.,"Electroconvulsive therapy (ECT) is an efficient and rapid-acting treatment indicated for severe depressive disorders. While ECT is commonly accompanied by transient memory decline, the brain mechanisms underlying these side effects remain unclear.",2023,12,30
The Epidemiology of Inflammatory Bowel Disease in Oceania: A Systematic Review and Meta-Analysis of Incidence and Prevalence.,"Past studies have shown high rates of inflammatory bowel disease (IBD) in Australia and New Zealand (NZ). We aimed to describe the epidemiology of IBD in Australia, NZ, and the surrounding region (collectively termed Oceania) by conducting a systematic review and meta-analysis.",2023,12,30
Ectopic expression of C-type lectin Mincle renders mice susceptible to staphylococcal pneumonia.,"Staphylococcus aureus is a prevalent pathogen in pneumonia and harbors glycolipids which may serve as molecular patterns in Mincle (Macrophage inducible C-type lectin) dependent pathogen recognition. We examined the role of Mincle in lung defense against S. aureus in WT, Mincle KO and Mincle transgenic (tg) mice. Two glycolipids, glucosyl-diacylglycerol (Glc-DAG) and diglucosyl-diacylglycerol (Glc2-DAG) were purified, of which only Glc-DAG triggered Mincle reporter cell activation and professional phagocyte responses. Proteomic profiling revealed that Glc2-DAG blocked Glc-DAG-induced cytokine responses, thereby acting as inhibitor of Glc-DAG/Mincle-signaling. WT mice responded to S. aureus with a similar lung pathology as Mincle KO mice, most likely due to Glc2-DAG-dependent inhibition of Glc-DAG/Mincle-signaling. In contrast, ectopic Mincle expression caused severe lung pathology in S. aureus-infected mice characterized by bacterial outgrowth and fatal pneumonia. Collectively, Glc2-DAG inhibits Glc-DAG/Mincle-dependent responses in WT mice, whereas sustained Mincle expression overrides Glc2-DAG-mediated inhibitory effects, conferring increased host susceptibility to S. aureus.",2023,12,30
Integration of bioinformatics analysis to identify possible hub genes and important pathways associated with clear cell renal cell carcinoma.,"One of the most fatal urological malignancies is clear cell renal cell carcinoma (ccRCC), yet little is known about its pathophysiology or prognosis. This study is aimed at obtaining some novel biomarkers with diagnostic and prognostic meaning and may find out potential therapeutic targets for ccRCC.",2023,12,30
An overview of the utility of prasugrel hydrochloride as a treatment option for ischemic stroke.,"Prasugrel, a potent P2Y<sub>12</sub> receptor inhibitor, is not currently recommended in patients with stroke due to a higher rate of recurrent stroke. Prasugrel was associated with comparable efficacy to clopidogrel in reducing the risk of ischemic stroke in a recent phase III study.",2023,12,30
Significance of a positive tau PET scan with a negative amyloid PET scan.,The implications of positive tau positron emission tomography (T) with negative beta amyloid positron emission tomography (A) are not well understood. We investigated cognitive performance in participants who were T+ but A-.,2023,12,30
Low Parts Per Trillion Detection of Iodinated Disinfection Byproducts in Drinking Water and Urine using Vacuum-Assisted Sorbent Extraction and GC-MS/MS.,"Disinfection byproducts (DBPs) are ubiquitous environmental contaminants, which are present in virtually all drinking water and linked to detrimental health effects. Iodinated-DBPs are more cytotoxic and genotoxic than chloro- and bromo-DBPs and are formed during disinfection of iodide-containing source water. Liquid-liquid extraction (LLE) paired with gas chromatography (GC)-mass spectrometry (MS) has been the method of choice in the study of low molecular weight iodinated-DBPs; however, this method is laborious and time-consuming and struggles with complex matrices. We developed an environmentally friendly method utilizing headspace solid phase extraction with the application of vacuum to measure six iodinated-trihalomethanes (I-THMs) in drinking water and urine. Vacuum-assisted sorbent extraction (VASE) has the ability to exhaustively and rapidly extract volatile and semivolatile compounds from liquid matrices without the use of solvent. Using VASE with GC-MS/MS provides improved analyte recovery and reduced matrix interference compared to LLE. Additionally, VASE enables extraction of 30 samples simultaneously with minimal sample handling and improved method reproducibility. Using VASE with GC-MS/MS, we achieved quantification limits of 3-4 ng/L. This technique was demonstrated on drinking water from four cities, where five I-THMs were quantified at levels 10-33 times below comparable LLE methods with 10 times lower volumes of sample (10 mL vs 100 mL).",2023,12,30
Exploring the Impact of Nanoparticle Stealth Coatings in Cancer Models: From PEGylation to Cell Membrane-Coating Nanotechnology.,"Nanotechnological platforms offer advantages over conventional therapeutic and diagnostic modalities. However, the efficient biointerfacing of nanomaterials for biomedical applications remains challenging. In recent years, nanoparticles (NPs) with different coatings have been developed to reduce nonspecific interactions, prolong circulation time, and improve therapeutic outcomes. This study aims to compare various NP coatings to enhance surface engineering for more effective nanomedicines. We prepared and characterized polystyrene NPs with different coatings of poly(ethylene glycol), bovine serum albumin, chitosan, and cell membranes from a human breast cancer cell line. The coating was found to affect the colloidal stability, adhesion, and elastic modulus of NPs. Protein corona formation and cellular uptake of NPs were also investigated, and a 3D tumor model was employed to provide a more realistic representation of the tumor microenvironment. The prepared NPs were found to reduce protein adsorption, and cell-membrane-coated NPs showed significantly higher cellular uptake. The secretion of proinflammatory cytokines in human monocytes after incubation with the prepared NPs was evaluated. Overall, the study demonstrates the importance of coatings in affecting the behavior and interaction of nanosystems with biological entities. The findings provide insight into bionano interactions and are important for the effective implementation of stealth surface engineering designs.",2023,12,30
"NAC61 regulates late- and post-ripening osmotic, oxidative, and biotic stress responses in grapevine.","During late- and post-ripening stages, grape berry undergoes profound biochemical and physiological changes whose molecular control is poorly understood. Here, we report the role of NAC61, a grapevine NAC transcription factor, in regulating different processes featuring the berry ripening progression. NAC61 is highly expressed during post-harvest berry dehydration and its expression pattern is closely related to sugar concentration. The ectopic expression of NAC61 in Nicotiana benthamiana leaves determines low stomatal conductance, high leaf temperature, tissue collapse and a higher relative water content. Transcriptome analysis of grapevine leaves transiently overexpressing NAC61, and DNA affinity purification and sequencing analyses allowed us to narrow down a list of NAC61-regulated genes. Direct regulation of the stilbene synthase regulator MYB14, the osmotic stress-related gene DHN1b, the Botrytis cinerea susceptibility gene WRKY52 and the NAC61 itself, is validated. We also demonstrate that NAC61 interacts with NAC60, a proposed master regulator of grapevine organ maturation, in the activation of MYB14 and NAC61 expression. Overall, our findings establish NAC61 as a key player in a regulative network that governs stilbenoid metabolism and osmotic, oxidative and biotic stress responses that hallmark late- and post-ripening grape stages.",2023,12,30
Rapidly achieving clinical remission in ulcerative colitis indicates better endoscopic and histological outcomes.,"Clinical remission (CR) is the principal short-term treatment target in patients with ulcerative colitis (UC). However, whether rapidly achieving CR indicates better outcomes remains unclear.",2023,12,30
SARS-CoV-2 induced vascular endothelial dysfunction: direct or indirect effects?,"Clinical evidence reveals that manifestations of endothelial dysfunction are widely observed in COVID-19 and long-COVID patients. However, whether these detrimental effects are caused by direct infection of the endothelium or are indirectly mediated by systemic inflammation has been a matter of debate. It has been well acknowledged that endothelial cells (ECs) of the cardiovascular system ubiquitously express the SARS-CoV-2 entry receptor ACE2, yet accumulating evidence suggests that it is more predominantly expressed by pericytes and vascular smooth muscle cells of the mammalian blood vessel. Besides, replicative infection of ECs by SARS-CoV-2 has yet to be demonstrated both in vitro and in vivo. Here, we review latest research on endothelial ACE2 expression in different vascular beds, and the heterogeneity in various EC subsets with differential ACE2 expression in response to SARS-CoV-2. We also discuss ACE2-independent alternative mechanisms underlying endothelial activation in COVID-19, and the clinical manifestations of SARS-CoV-2-induced endothelial dysfunction. Altogether, understanding ACE2-dependent and -independent mechanisms driving SARS-CoV-2-induced vascular dysfunction would shed light on strategies of more effective therapies targeting cardiovascular complications associated with COVID-19.",2023,12,30
Glucocorticoid-induced TNF receptor family-related protein functions as a co-stimulatory molecule for murine eosinophils.,"Eosinophils are typical effector cells associated with type 2 immune responses and play key roles in the pathogenesis of allergic diseases. These cells are activated by various stimuli, such as cytokines, chemokines, and growth factors, but the regulatory mechanisms of eosinophil effector functions remain unclear. Glucocorticoid-induced TNF receptor family-related protein (GITR), a transmembrane protein belonging to the TNF receptor superfamily, is a well-known regulatory molecule for T cell activation. Here, we show that GITR is also constitutively expressed on eosinophils and functions as a co-stimulatory molecule for these cells. Although degranulation was unaffected by GITR engagement of murine bone marrow-derived eosinophils (bmEos), secretion of inflammatory cytokines such as interleukin (IL)-4, IL-6, and IL-13 from IL-33-activated bmEos were augmented by anti-mouse GITR agonistic antibody (DTA-1). In conclusion, our results provide a new regulatory pathway of cytokine secretion from eosinophils where GITR functions as a co-stimulatory molecule.",2023,12,30
Further Evidence for a Dimensional Latent Structure of Health Anxiety: Taxometric Analyses of the Whiteley Index Based on Two German Representative Samples.,"Health anxiety is an intricate part of illness anxiety and somatic symptom disorder. Based on convenience samples, two out of three available studies indicate that it is a dimensional rather than a categorical construct. Using two representative datasets, this study investigates whether previous results can be clarified. Conventional taxometric analyses as well as comparison curve fit indices (CCFI) profile analyses (MAMBAC and MAXSLOPE procedures) were calculated with two datasets of the German adult population assessing the Whiteley Index (WI-14, <i>N</i> = 2,072; WI-7, <i>N</i> = 2,498). Mean CCFIs indicated a dimensional structure for both the WI-7 (mean CCFI = 0.42, mean CCFI profile = 0.40) and the WI-14 (mean CCFI = 0.44, mean CCFI profile = 0.32). The results support and extend previous findings by strongly suggesting a dimensional distribution of health anxiety in the general population. Implications for research and practice comprise the adoption of a dimensional description of psychopathology as well as transdiagnostic treatment approaches.",2023,12,30
"[Government, university medicine and epidemics in Siberia (late XIX - early XX century)].","The relationship between government and university medicine in the context of the development of the Asian ""colonial"" periphery of Russia in the late imperial period are studied. It is concluded that these relationship, the manifestations of which were most pronounced in the period of the fight against epidemics, are not quite standard from the point of view of model of the classical relationship between power and knowledge in the colonial context of European maritime empires. This is connected mainly with the social portrait of the university intelligentsia, with the peculiarities of their professional socialization, which led to the fact that in Siberia they broadcast the experience of the European metropolises, rather than the colonies.",2023,12,22
[Diagnosis and antibiotic therapy of nosocomial pneumonia in adults: from recommendations to real practice. A review].,"Nosocomial pneumonia is a healthcare-associated infection with significant consequences for the patient and the healthcare system. The efficacy of treatment significantly depends on the timeliness and adequacy of the antibiotic therapy regimen. The growth of resistance of gram-negative pathogens of nosocomial pneumonia to antimicrobial agents increases the risk of prescribing inadequate empirical therapy, which worsens the results of patient treatment. Identification of risk factors for infection with multidrug-resistant microorganisms, careful local microbiological monitoring with detection of resistance mechanisms, implementation of antimicrobial therapy control strategy and use of rational combinations of antibacterial drugs are of great importance. In addition, the importance of using new drugs with activity against carbapenem-resistant strains, including ceftazidime/aviabactam, must be understood. This review outlines the current data on the etiology, features of diagnosis and antibacterial therapy of nosocomial pneumonia.",2023,12,22
